Word,Frequency
lesson,1
talking,1
denominator,2
divided,1
validated,1
understood,1
done,1
35000,1
soon,1
camera,1
shuts,1
everyone,1
turns,1
asks,1
“was,2
okay”,2
bush,1
obama,1
i’ve,2
heroes,1
housewives,1
victims,2
perpetrators,1
crimes,1
beyonce,1
beyonceness,1
finishes,1
performing,1
hands,2
microphone,1
family,3
yours,1
enemies,1
strangers,1
argument,1
exchange,1
thing:,1
hear,3
where,1
born,1
try,2
face-to-face,1
conversations,1
disagree,1
you’ll,1
courage,1
eye,1
view,1
speed,1
distance,1
anonymity,1
cause,1
lose,1
ability,1
stand,1
somebody,1
else’s,1
shoes,1
recognize,1
imperative,1
individual,1
“there,1
man,2
whose,1
boy,2
massacred,1
ordinary,1
friday,1
december,1
whether,1
soul,1
spirit,1
self,1
intelligence,1
light,2
inside,1
illuminates,1
beingness,1
easier,1
pretending,1
although,1
head,1
reading,1
canada,1
“can-a-da”,1
end,1
cracked,1
couldn’t,1
start,1
laughing,1
figured,1
gee,1
pretend,1
anxiety,1
hesitation,1
leaving,1
comfort,1
putting,1
credentials,1
test,1
setbacks,1
disappointments,1
along,1
happiness,1
only,2
fulfill,1
highest,1
truthful,1
expression,1
max,1
humanity,1
using,1
energy,1
lift,1
theologian,1
howard,1
thurman,1
best,1
“don’t,1
ask,2
needs,3
alive,2
alive”,1
michael,8
stolzenberg,2
fort,1
lauderdale,1
8,1
died,1
bacterial,1
infection,1
cost,1
him,1
his,6
feet,1
instant,1
vibrant,1
quadruple,1
amputee,1
changed,1
losing,2
discovered,1
wheelchair,1
sorry,1
himself,1
prosthetics,1
run,1
play,1
again,1
joined,1
middle,1
lacrosse,1
team,1
boston,3
marathon,2
bombing,1
amputees,3
banish,1
brother,1
harris,3
created,1
mikeysruncom,1
raise,1
$1,1
runs,1
2014,1
1000,1
miles,1
two,1
brothers,1
bringing,1
support,2
community,2
13-year-old,1
“first,1
sad,1
they’re,1
never,1
back,1
scary,1
scared,1
they’ll,1
yet”,1
daily,1
faith,5
collected,1
sitting,1
khadijah,2
williams,1
four,1
attended,1
living,1
garbage,1
bags,1
amongst,1
pimps,1
prostitutes,1
drug,1
dealers;,1
homeless,1
department,1
stores,1
wal-mart,1
bathe,1
wouldn’t,1
smell,1
front,1
classmates,1
member,1
count,1
doubt,1
questions,1
doubts,1
willing,1
listen,1
guided,1
small,1
voice,1
within,1
happy,1
congratulations,2
luck,1
listening,1
